Name,User Score,Progress,Status,Type,URL
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.0,1,Completed,Movie,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,7.0,1,Completed,Special,https://myanimelist.net/anime/32188/Steins_Gate__Kyoukaimenjou_no_Missing_Link_-_Divide_By_Zero
Steins;Gate: Oukoubakko no Poriomania,9.0,1,Completed,Special,https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania
Tate no Yuusha no Nariagari,8.0,25,Completed,TV,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
Vinland Saga,8.0,24,Completed,TV,https://myanimelist.net/anime/37521/Vinland_Saga
Yakusoku no Neverland,8.0,12,Completed,TV,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
Baki,,13/26,On Hold,ONA,https://myanimelist.net/anime/34443/Baki
Code Geass: Hangyaku no Lelouch,8.0,2/25,On Hold,TV,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
Cowboy Bebop,8.0,6/26,On Hold,TV,https://myanimelist.net/anime/1/Cowboy_Bebop
Death Note,8.0,11/37,On Hold,TV,https://myanimelist.net/anime/1535/Death_Note
Fumetsu no Anata e,9.0,15/20,On Hold,TV,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Gintama,,96/201,On Hold,TV,https://myanimelist.net/anime/918/Gintama
"Komi-san wa, Comyushou desu.",8.0,2/12,On Hold,TV,https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu
Mushishi,8.0,7/26,On Hold,TV,https://myanimelist.net/anime/457/Mushishi
Naruto,8.0,107/220,On Hold,TV,https://myanimelist.net/anime/20/Naruto
One Piece,8.0,14/-,On Hold,TV,https://myanimelist.net/anime/21/One_Piece
Shingeki no Kyojin: The Final Season,8.0,9/16,On Hold,TV,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
Takt Op. Destiny,7.0,3/12,On Hold,TV,https://myanimelist.net/anime/48556/Takt_Op_Destiny
Tengen Toppa Gurren Lagann,8.0,15/27,On Hold,TV,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Yakusoku no Neverland 2nd Season,7.0,4/11,,TV,https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season
Ansatsu Kyoushitsu,,-/22,Plan To Watch,TV,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu
Black Clover Movie,,-/1,Plan To Watch,Movie,https://myanimelist.net/anime/48585/Black_Clover_Movie
Boku dake ga Inai Machi,,-/12,Plan To Watch,TV,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
Bungou Stray Dogs,,-/12,Plan To Watch,TV,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs
Byousoku 5 Centimeter,,-/3,Plan To Watch,Movie,https://myanimelist.net/anime/1689/Byousoku_5_Centimeter
Dororo,,-/24,Plan To Watch,TV,https://myanimelist.net/anime/37520/Dororo
Magi: The Labyrinth of Magic,,-/25,Plan To Watch,TV,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
Majo no Takkyuubin,,-/1,Plan To Watch,Movie,https://myanimelist.net/anime/512/Majo_no_Takkyuubin
Miira no Kaikata,,-/12,Plan To Watch,TV,https://myanimelist.net/anime/35828/Miira_no_Kaikata
Mononoke Hime,,-/1,Plan To Watch,Movie,https://myanimelist.net/anime/164/Mononoke_Hime
Monster,,-/74,Plan To Watch,TV,https://myanimelist.net/anime/19/Monster
Nanatsu no Taizai: Fundo no Shinpan,,-/24,Plan To Watch,TV,https://myanimelist.net/anime/41491/Nanatsu_no_Taizai__Fundo_no_Shinpan
Naruto: Shippuuden,,-/500,Plan To Watch,TV,https://myanimelist.net/anime/1735/Naruto__Shippuuden
One Punch Man,,-/12,Plan To Watch,TV,https://myanimelist.net/anime/30276/One_Punch_Man
Saiki Kusuo no Ψ-nan,,-/120,Plan To Watch,TV,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
Seirei Gensouki,,-/12,Plan To Watch,TV,https://myanimelist.net/anime/44203/Seirei_Gensouki
Shiguang Dailiren II,,-/-,Plan To Watch,ONA,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II
Stranger: Mukou Hadan,,-/1,Plan To Watch,Movie,https://myanimelist.net/anime/2418/Stranger__Mukou_Hadan
Tokyo Ghoul,,-/12,Plan To Watch,TV,https://myanimelist.net/anime/22319/Tokyo_Ghoul
Violet Evergarden,,-/13,Plan To Watch,TV,https://myanimelist.net/anime/33352/Violet_Evergarden
Wu Shan Wu Xing,,-/3,Plan To Watch,ONA,https://myanimelist.net/anime/37936/Wu_Shan_Wu_Xing
Yuu☆Yuu☆Hakusho,,-/112,Plan To Watch,TV,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
