Movie Name,Year,Score,Critics Consensus,Directors,Cast,Adjusted Score,Synopsis
The Protector,2005,53,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.",Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao",55.332,A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of... [More]
Revenge,2017,93,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.",Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",100.665,Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced... [More]
El Mariachi,1992,91,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.",Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt",96.267,El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking... [More]
A Touch of Zen,1971,97,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.",King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao",98.327,"Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is... [More]"
Top Gun,1986,58,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer",63.501,The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying... [More]
Con Air,1997,56,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.",Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi",59.938,"Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard... [More]"
The Expendables 2,2012,67,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.",Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",72.208,"Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr.... [More]"
The Mummy,1999,61,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",65.185,"The Mummy is a rousing, suspenseful and horrifying epic about an expedition of treasure-seeking explorers in the Sahara Desert in... [More]"
Mr. & Mrs. Smith,2005,60,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.",Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",67.609,"John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However,... [More]"
Rush Hour,1998,61,A kick-ass addition to the cop-buddy film genre.,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña",63.785,"When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)... [More]"
