Artist,Collection,Track Name,Track ID,Track URL,Release Date,Genre,Track Price,Currency
The Beatles,1 (2015 Version),Come Together,1440834242,https://music.apple.com/us/album/come-together-2015-stereo-mix/1440833098?i=1440834242&uo=4,1969-10-06T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),While My Guitar Gently Weeps,1441133644,https://music.apple.com/us/album/while-my-guitar-gently-weeps/1441133180?i=1441133644&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,1 (2015 Version),Ticket to Ride,1440833554,https://music.apple.com/us/album/ticket-to-ride-2015-stereo-mix/1440833098?i=1440833554&uo=4,1965-04-09T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Something,1474815801,https://music.apple.com/us/album/something-2019-mix/1474815798?i=1474815801&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),"Ob-La-Di, Ob-La-Da",1441133613,https://music.apple.com/us/album/ob-la-di-ob-la-da/1441133180?i=1441133613&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1967-1970 (The Blue Album),Revolution,1441133279,https://music.apple.com/us/album/revolution/1441133100?i=1441133279&uo=4,1968-08-26T12:00:00Z,Rock,1.29,USD
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remix),With A Little Help From My Friends,1573250550,https://music.apple.com/us/album/with-a-little-help-from-my-friends-remix/1573250333?i=1573250550&uo=4,1967-05-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Oh! Darling,1474815804,https://music.apple.com/us/album/oh-darling-2019-mix/1474815798?i=1474815804&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),She Came In Through the Bathroom Window,1474815904,https://music.apple.com/us/album/she-came-in-through-the-bathroom-window-2019-mix/1474815798?i=1474815904&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Birthday,1441134086,https://music.apple.com/us/album/birthday/1441133180?i=1441134086&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remix),Lucy In The Sky With Diamonds,1573250861,https://music.apple.com/us/album/lucy-in-the-sky-with-diamonds-remix/1573250333?i=1573250861&uo=4,1967-05-26T12:00:00Z,Rock,1.29,USD
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remix),A Day In The Life,1573252107,https://music.apple.com/us/album/a-day-in-the-life-remix/1573250333?i=1573252107&uo=4,1967-05-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Golden Slumbers,1474815905,https://music.apple.com/us/album/golden-slumbers-2019-mix/1474815798?i=1474815905&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),I Want You (She's So Heavy),1474815897,https://music.apple.com/us/album/i-want-you-shes-so-heavy-2019-mix/1474815798?i=1474815897&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Octopus's Garden,1474815805,https://music.apple.com/us/album/octopuss-garden-2019-mix/1474815798?i=1474815805&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remix),When I'm Sixty-Four,1573251670,https://music.apple.com/us/album/when-im-sixty-four-remix/1573250333?i=1573251670&uo=4,1967-05-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Maxwell's Silver Hammer,1474815803,https://music.apple.com/us/album/maxwells-silver-hammer-2019-mix/1474815798?i=1474815803&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),The End,1474815907,https://music.apple.com/us/album/the-end-2019-mix/1474815798?i=1474815907&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Because,1474815899,https://music.apple.com/us/album/because-2019-mix/1474815798?i=1474815899&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
